Financial Year,Month,Local Board,Location Name,_Sum of Checkouts Actual
FY18,Nov,Albert - Eden,Epsom,22633
FY18,Nov,Other,Events Library,26
FY18,Nov,Waitakere Ranges,Glen Eden,21848
FY18,Nov,Maungakiekie-Tamaki,Glen Innes,6839
FY18,Nov,Kaipatiki,Glenfield,26793
FY18,Nov,Great Barrier,Great Barrier,942
FY18,Nov,Waitemata,Grey Lynn,11465
FY18,Nov,Rodney,Helensville,4925
FY18,Nov,Henderson - Massey,Henderson,19401
FY18,Nov,Howick,Highland Park,28341
FY18,Nov,Howick,Howick,24888
FY18,Nov,Rodney,Kumeu,11349
FY18,Nov,Waitemata,Leys Institute,10702
FY18,Nov,Waitemata,Leys Institute Little,0
FY18,Nov,Other,Library Connect,154
FY18,Nov,Rodney,Mahurangi East,6193
FY18,Nov,Mangere-Otahuhu,Mangere Bridge,8485
FY18,Nov,Mangere-Otahuhu,Mangere East,2554
FY18,Nov,Mangere-Otahuhu,Mangere Town Centre,3116
FY18,Nov,Otara-Papatoetoe,Manukau,7082
FY18,Nov,Manurewa,Manurewa,14475
FY18,Nov,Henderson - Massey,Massey,26236
FY18,Nov,Mobile Libraries,Mobile Central,1155
FY18,Nov,Mobile Libraries,Mobile North,1478
FY18,Nov,Mobile Libraries,Mobile South & East,3961
FY18,Nov,Mobile Libraries,Mobile West & Central,2383
FY18,Nov,Albert - Eden,Mt Albert,31309
FY18,Nov,Puketapapa,Mt Roskill,31767
FY18,Nov,Whau,New Lynn,21439
FY18,Nov,Kaipatiki,Northcote,11171
FY18,Nov,Maungakiekie-Tamaki,Onehunga,16702
FY18,Nov,Other,Online Renewals,0
FY18,Nov,Hibiscus and Bays,Orewa,28518
FY18,Nov,Mangere-Otahuhu,Otahuhu,3981
FY18,Nov,Otara-Papatoetoe,Otara,1822
FY18,Nov,Other,Other,1419
FY18,Nov,Howick,Pakuranga,19328
FY18,Nov,Maungakiekie-Tamaki,Panmure,11332
FY18,Nov,Papakura,Papakura,20289
FY18,Nov,Otara-Papatoetoe,Papatoetoe,10067
FY18,Nov,Waitemata,Parnell,10292
